IDCLI;NOM;SIEGE-VILLE;SIEGE-PAYS
1;Titan Technologies;Toronto; Canada
2;Xenon Xpress;Pékin; Chine
3;Biotech Bright;Londres; Royaume-Uni
4;Stellar Solutions;Sydney; Australie
5;Radiant Resources;Rome; Italie
6;Sigma Services;Buenos Aires; Argentine
7;Tau Technologies;Istanbul; Turquie
8;Upsilon Utilities;Rome; Italie
9;Phi Pharmaceuticals;Buenos Aires; Argentine
10;Chi Chemicals;Paris; France
11;Psi Publishing;Tokyo; Japon
12;Omega Optics;New York; États-Unis
13;Aegis Analytics;Londres; Royaume-Uni
14;Beacon Biotech;Berlin; Allemagne
15;Catalyst Consulting;Madrid; Espagne
16;Dynamo Designs;Rome; Italie
17;Elevate Enterprises;Sydney; Australie
18;Fusion Fabrics;Toronto; Canada
19;Genesis Global;Mumbai; Inde
20;Horizon Holdings;Séoul; Corée du Sud
21;Ignite Innovations;Rome; Italie
22;Luminary Labs;São Paulo; Brésil
23;Matrix Media;Le Caire; Égypte
24;Nexus Networks;Paris; France
25;Orion Operations;Tokyo; Japon
26;Pinnacle Partners;New York; États-Unis
27;Quantum Quest;Londres; Royaume-Uni
28;Radiant Resources;Berlin; Allemagne
29;Stellar Solutions;Madrid; Espagne
30;Titan Technologies;Rome; Italie
31;Unity Utilities;Sydney; Australie
32;Vanguard Ventures;Rome; Italie
33;Keystone Kinetics;Buenos Aires; Argentine
34;Core Consulting;Paris; France
35;Dynamic Designs;Tokyo; Japon
36;Elevation Enterprises;New York; États-Unis
37;Fusion Fabrics;Londres; Royaume-Uni
38;Global Genesis;Berlin; Allemagne
39;Horizon Holdings;Madrid; Espagne
40;Ignite Innovations;Rome; Italie
41;Journey Juno;Sydney; Australie
42;Kinetic Keystone;Toronto; Canada
43;Luminary Labs;Moscou; Russie
44;Media Matrix;São Paulo; Brésil
45;Network Nexus;Le Caire; Égypte
46;Operations Orion;Paris; France
47;Partners Pinnacle;Tokyo; Japon
48;Quest Quantum;New York; États-Unis
49;Resources Radiant;Londres; Royaume-Uni
50;Solutions Stellar;Berlin; Allemagne
51;Technologies Titan;Madrid; Espagne
52;Utilities Unity;Rome; Italie
53;Ventures Vanguard;Sydney; Australie
54;Works Wave;Toronto; Canada
55;Xpress Xenon;Rome; Italie
56;Yards Yield;Paris; France
57;Zones Zenith;Tokyo; Japon
58;Alpha Analytics;New York; États-Unis
59;Designs Dynamic;Madrid; Espagne
60;AlphaTech Solutions;Paris; France
61;BetaCorp Innovations;Tokyo; Japon
62;Gamma Enterprises;New York; États-Unis
63;Delta Dynamics;Londres; Royaume-Uni
64;Epsilon Ventures;Berlin; Allemagne
65;Zeta Systems;Madrid; Espagne
66;Eta Technologies;Rome; Italie
67;Theta Industries;Sydney; Australie
68;Iota Holdings;Toronto; Canada
69;Kappa Consulting;Pékin; Chine
70;Lambda Logistics;Moscou; Russie
71;Mu Manufacturing;São Paulo; Brésil
72;Nu Networks;Le Caire; Égypte
73;Xi Communications;Mumbai; Inde
74;Omicron Operations;Séoul; Corée du Sud
75;Pi Productions;Johannesburg; Afrique du Sud
76;Rho Resources;Mexico; Mexique
77;Juno Journeys;Rome; Italie
78;Yield Yards;Moscou; Russie
79;Zenith Zones;São Paulo; Brésil
80;Apex Analytics;Le Caire; Égypte
81;Bright Biotech;Mumbai; Inde
82;Consulting Core;Berlin; Allemagne
83;Enterprises Elevation;Rome; Italie
84;Fabrics Fusion;Sydney; Australie
85;Genesis Global;Toronto; Canada
86;Holdings Horizon;São Paulo; Brésil
87;Innovations Ignite;Le Caire; Égypte
88;Juno Journey;Mumbai; Inde
89;Keystone Kinetic;Séoul; Corée du Sud
90;Labs Luminary;Paris; France
91;Matrix Media;Tokyo; Japon
92;Nexus Network;New York; États-Unis
93;Orion Operations;Londres; Royaume-Uni
94;Quantum Quest;Madrid; Espagne
95;Unity Utilities;Paris; France
96;Pinnacle Partners;Berlin; Allemagne
97;Vanguard Ventures;Paris; France
98;WaveWorks;Paris; France
99;WaveWorks;Tokyo; Japon
100;Xenon Xpress;New York; États-Unis
101;Yield Yards;Londres; Royaume-Uni
102;Zenith Zones;Berlin; Allemagne
103;Apex Analytics;Madrid; Espagne
104;Bright Biotech;Rome; Italie
105;Core Consulting;Sydney; Australie
106;Dynamic Designs;Toronto; Canada
107;Elevation Enterprises;Séoul; Corée du Sud
108;Fusion Fabrics;Paris; France
109;Global Genesis;Paris; France
110;Horizon Holdings;Tokyo; Japon
111;Ignite Innovations;New York; États-Unis
112;Journey Juno;Londres; Royaume-Uni
113;Kinetic Keystone;Berlin; Allemagne
114;Luminary Labs;Madrid; Espagne
115;Media Matrix;Rome; Italie
116;Network Nexus;Sydney; Australie
117;Operations Orion;Toronto; Canada
118;Partners Pinnacle;Moscou; Russie
119;Quest Quantum;São Paulo; Brésil
120;Resources Radiant;Le Caire; Égypte
121;Solutions Stellar;Mumbai; Inde
122;Technologies Titan;Séoul; Corée du Sud
123;Utilities Unity;Paris; France
124;Ventures Vanguard;Tokyo; Japon
125;Works Wave;New York; États-Unis
126;Xpress Xenon;Londres; Royaume-Uni
127;Yards Yield;Berlin; Allemagne
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
