IDCLI;Date;Région;Département;Type de ligne;Matériel;Coût par minute;Durée de communication;Coût de communication;Qualité de la communication
15;01/01/2021;Pennsylvania;Ventes;Mobile;LG G4;0,11;75;8,25;4
31;01/01/2021;Nebraska;Achats;Mobile;Apple iPhone;0,12;50;6;6
74;01/01/2021;Kentucky;Marketing;Mobile;Apple iPhone;0,12;35;4,2;3
35;01/01/2021;Grand;Est;Mobile;Samsung Galaxy;0,12;50;6;4
69;01/01/2021;Pennsylvania;SI;Fixe;Logicom Nova 350;0,11;50;5,5;9
72;01/01/2021;Indiana;Ventes;Mobile;Apple iPhone;0,09;20;1,8;8
44;01/01/2021;Bretagne;Production;VoIP;Thomson st2030;0,12;60;7,2;7
32;01/01/2021;Wyoming;Finance;Mobile;Samsung Galaxy;0,09;45;4,05;5
52;01/01/2021;Maine;Achats;VoIP;Cisco SPA 303;0,1;55;5,5;8
73;01/01/2021;Kentucky;R&D;VoIP;Thomson st3030;0,12;40;4,8;10
8;01/01/2021;Louisiana;Marketing;Fixe;Siemens Gigaset a400;0,09;75;6,75;8
20;01/01/2021;Île-du-Prince-Édouard;R&D;Mobile;Apple iPhone;0,09;75;6,75;8
43;01/01/2021;Auvergne-Rhône-Alpes;Marketing;VoIP;Thomson st2030;0,11;5;0,55;5
56;01/01/2021;Iowa;SI;Mobile;Samsung Galaxy;0,11;15;1,65;6
47;01/01/2021;Indiana;Finance;VoIP;Cisco SPA 303;0,1;25;2,5;9
14;01/01/2021;Centre-Val;de;Mobile;LG G4;0,1;25;2,5;6
56;01/01/2021;Wisconsin;Production;Fixe;Logicom Nova 350;0,1;20;2;8
40;01/01/2021;Grand;Est;VoIP;Thomson st3030;0,11;65;7,15;10
43;01/01/2021;Utah;Ventes;VoIP;Thomson st3030;0,12;10;1,2;5
57;01/01/2021;Ohio;Direction;Mobile;Apple iPhone;0,12;60;7,2;7
56;01/01/2021;Normandie;Production;Fixe;Logicom Nova 350;0,11;15;1,65;2
50;01/01/2021;North;Dakota;Mobile;Apple iPhone;0,11;45;4,95;8
93;01/01/2021;Wyoming;SI;VoIP;Cisco SPA 303;0,12;65;7,8;7
32;01/01/2021;Mississippi;Direction;Fixe;Siemens Gigaset a400;0,09;20;1,8;10
98;01/01/2021;Oklahoma;Achats;VoIP;Cisco SPA 303;0,11;10;1,1;4
48;01/01/2021;Alberta;SI;Mobile;Samsung Galaxy;0,1;25;2,5;8
43;01/01/2021;Washington;Juridique;VoIP;Thomson st3030;0,11;15;1,65;9
84;01/01/2021;North;Dakota;Mobile;LG G4;0,1;50;5;5
5;01/01/2021;Kansas;R&D;Fixe;Siemens Gigaset a400;0,09;55;4,95;8
45;01/01/2021;Île-du-Prince-Édouard;Achats;Mobile;LG G4;0,11;45;4,95;10
56;01/01/2021;Bourgogne-Franche-Comté;Ventes;Fixe;Siemens Gigaset a400;0,09;30;2,7;6
73;01/01/2021;Texas;R&D;VoIP;Thomson st2030;0,11;15;1,65;3
6;01/01/2021;Bourgogne-Franche-Comté;SI;VoIP;Cisco SPA 303;0,09;10;0,9;10
7;01/01/2021;Louisiana;RH;VoIP;Thomson st2030;0,1;40;4;9
84;01/01/2021;Hauts-De-France;Juridique;VoIP;Cisco SPA 303;0,1;40;4;8
65;01/01/2021;Nouvelle-Aquitaine;RH;Fixe;Siemens Gigaset a400;0,1;40;4;10
34;01/01/2021;Irlande;du;Fixe;Logicom Nova 350;0,1;20;2;5
15;01/01/2021;Hawaii;Juridique;Mobile;Samsung Galaxy;0,12;30;3,6;8
30;01/01/2021;Vermont;Production;VoIP;Thomson st2030;0,09;35;3,15;2
8;01/01/2021;Wisconsin;Direction;VoIP;Thomson st2030;0,12;55;6,6;3
32;01/01/2021;New;Hampshire;Fixe;Alcatel Versatis;0,11;35;3,85;8
8;01/01/2021;North;Carolina;VoIP;Cisco SPA 303;0,11;10;1,1;7
7;01/01/2021;New;Jersey;Mobile;LG G4;0,12;25;3;6
13;01/01/2021;Pays;de;VoIP;Thomson st2030;0,11;50;5,5;4
15;01/01/2021;Corse;Direction;Mobile;Samsung Galaxy;0,11;60;6,6;3
43;01/01/2021;Arizona;Direction;Mobile;Samsung Galaxy;0,1;20;2;8
47;01/01/2021;California;Production;VoIP;Cisco SPA 303;0,11;75;8,25;6
21;01/01/2021;Minnesota;Achats;VoIP;Thomson st2030;0,12;25;3;6
93;01/01/2021;South;Dakota;Mobile;Samsung Galaxy;0,12;50;6;9
15;01/01/2021;Mississippi;R&D;VoIP;Cisco SPA 303;0,12;15;1,8;5
6;01/01/2021;New;Jersey;Mobile;LG G4;0,12;35;4,2;6
8;01/01/2021;Normandie;Ventes;VoIP;Thomson st3030;0,1;5;0,5;2
18;01/01/2021;Louisiana;Juridique;Fixe;Alcatel Versatis;0,1;10;1;4
18;01/01/2021;West;Virginia;VoIP;Cisco SPA 303;0,09;25;2,25;3
55;01/01/2021;Kansas;Juridique;VoIP;Cisco SPA 303;0,1;60;6;2
77;01/01/2021;New;Mexico;Mobile;Apple iPhone;0,1;60;6;2
2;01/01/2021;Arizona;RH;Fixe;Alcatel Versatis;0,12;70;8,4;4
18;01/01/2021;North;Dakota;Fixe;Alcatel Versatis;0,1;15;1,5;10
80;01/01/2021;Normandie;Direction;Fixe;Alcatel Versatis;0,09;50;4,5;10
76;01/01/2021;Vermont;SI;Fixe;Alcatel Versatis;0,12;35;4,2;5
79;01/01/2021;Grand;Est;Mobile;Samsung Galaxy;0,09;60;5,4;4
53;01/01/2021;Massachusetts;R&D;Fixe;Logicom Nova 350;0,12;35;4,2;6
59;01/01/2021;New;Hampshire;VoIP;Thomson st3030;0,1;25;2,5;9
75;01/01/2021;Nouvelle-Aquitaine;Juridique;Mobile;LG G4;0,12;35;4,2;4
32;01/01/2021;Angleterre;SI;Fixe;Logicom Nova 350;0,09;70;6,3;7
33;01/01/2021;Nebraska;SI;VoIP;Thomson st2030;0,1;70;7;3
1;01/01/2021;Arizona;SI;Fixe;Logicom Nova 350;0,12;40;4,8;8
87;01/01/2021;Nouveau-Brunswick;Juridique;Fixe;Alcatel Versatis;0,1;25;2,5;9
84;01/01/2021;New;Hampshire;Fixe;Logicom Nova 350;0,09;65;5,85;8
73;01/01/2021;Nouvelle-Aquitaine;Achats;Mobile;LG G4;0,12;70;8,4;2
52;01/01/2021;Grand;Est;Mobile;Apple iPhone;0,1;20;2;2
55;01/01/2021;Hawaii;RH;VoIP;Thomson st2030;0,12;70;8,4;3
74;01/01/2021;Alaska;SI;VoIP;Thomson st3030;0,11;70;7,7;7
36;01/01/2021;Provence-Alpes-Côte;d'Azur;VoIP;Thomson st2030;0,09;70;6,3;5
48;01/01/2021;Tennessee;Juridique;Mobile;Samsung Galaxy;0,09;30;2,7;7
77;01/01/2021;Québec;Juridique;Mobile;LG G4;0,1;45;4,5;2
21;01/01/2021;Maine;SI;Mobile;Samsung Galaxy;0,11;15;1,65;4
58;01/01/2021;Massachusetts;Finance;Mobile;Apple iPhone;0,11;40;4,4;10
33;01/01/2021;Corse;Marketing;VoIP;Thomson st2030;0,1;30;3;10
54;01/01/2021;Nunavut;Juridique;Fixe;Alcatel Versatis;0,11;20;2,2;4
13;01/01/2021;Texas;Finance;VoIP;Thomson st3030;0,11;60;6,6;2
8;01/01/2021;Massachusetts;Direction;VoIP;Thomson st2030;0,12;50;6;10
89;01/01/2021;Provence-Alpes-Côte;d'Azur;VoIP;Thomson st2030;0,11;60;6,6;6
49;01/01/2021;Indiana;Marketing;Fixe;Siemens Gigaset a400;0,1;5;0,5;10
5;01/01/2021;Maine;Achats;Fixe;Alcatel Versatis;0,11;50;5,5;4
65;01/01/2021;Occitanie;RH;VoIP;Thomson st3030;0,1;60;6;9
61;01/01/2021;Colorado;Juridique;Mobile;LG G4;0,12;60;7,2;5
48;01/01/2021;Connecticut;Production;Fixe;Alcatel Versatis;0,12;65;7,8;7
48;01/01/2021;Nouvelle-Aquitaine;Finance;Mobile;Samsung Galaxy;0,11;60;6,6;7
13;01/01/2021;Nouvelle-Aquitaine;SI;Mobile;Apple iPhone;0,11;30;3,3;7
82;01/01/2021;Washington;Achats;VoIP;Cisco SPA 303;0,11;5;0,55;9
52;01/01/2021;Kentucky;Ventes;Mobile;Apple iPhone;0,09;5;0,45;7
81;01/01/2021;Bourgogne-Franche-Comté;Finance;VoIP;Cisco SPA 303;0,09;40;3,6;7
25;01/01/2021;Auvergne-Rhône-Alpes;Achats;Mobile;Apple iPhone;0,1;25;2,5;8
15;01/01/2021;Connecticut;Direction;Fixe;Alcatel Versatis;0,09;65;5,85;8
25;01/01/2021;Angleterre;Marketing;Fixe;Alcatel Versatis;0,12;15;1,8;10
74;01/01/2021;Saskatchewan;Marketing;Mobile;LG G4;0,1;10;1;4
76;01/01/2021;Auvergne-Rhône-Alpes;Ventes;Mobile;Samsung Galaxy;0,1;30;3;5
81;01/01/2021;Virginia;Marketing;Fixe;Logicom Nova 350;0,11;55;6,05;9
47;01/01/2021;Nouvelle-Aquitaine;SI;VoIP;Thomson st2030;0,09;10;0,9;5
87;01/01/2021;Nebraska;Marketing;Fixe;Logicom Nova 350;0,09;50;4,5;6
13;01/02/2021;Manitoba;Production;VoIP;Thomson st3030;0,12;10;1,2;2
2;01/02/2021;Hauts-De-France;Achats;VoIP;Thomson st2030;0,1;60;6;9
29;01/02/2021;West;Virginia;Mobile;LG G4;0,12;35;4,2;10
77;01/02/2021;Bourgogne-Franche-Comté;R&D;Mobile;Samsung Galaxy;0,09;20;1,8;3
68;01/02/2021;Normandie;SI;VoIP;Thomson st2030;0,1;20;2;4
70;01/02/2021;Auvergne-Rhône-Alpes;R&D;Fixe;Logicom Nova 350;0,11;25;2,75;9
12;01/02/2021;Ontario;Direction;Fixe;Logicom Nova 350;0,1;25;2,5;8
11;01/02/2021;Louisiana;SI;Fixe;Siemens Gigaset a400;0,12;70;8,4;10
20;01/02/2021;Bourgogne-Franche-Comté;Finance;VoIP;Thomson st3030;0,1;25;2,5;4
74;01/02/2021;Yukon;SI;VoIP;Cisco SPA 303;0,11;70;7,7;2
7;01/02/2021;Irlande;du;VoIP;Thomson st3030;0,12;50;6;9
